query_id,query,type,system,result_count,labeled_result_count,precision_at_5,precision_at_10,ndcg_at_5,ndcg_at_10,mrr,success_at_1,success_at_5,mean_relevance_at_10
Q001,warm cinematic landscape,semantic_text,faiss_baseline,10,10,1.0,0.9,0.7599635902818439,0.913981382917702,1.0,1.0,1.0,1.5
Q001,warm cinematic landscape,semantic_text,faiss_style_rerank,10,10,1.0,1.0,0.6864231448093613,0.8651797396012889,1.0,1.0,1.0,1.7
Q001,warm cinematic landscape,semantic_text,qdrant_filtered,10,10,1.0,0.9,0.7599635902818439,0.913981382917702,1.0,1.0,1.0,1.5
Q001,warm cinematic landscape,semantic_text,qdrant_object_rerank,10,10,1.0,0.9,0.7599635902818439,0.913981382917702,1.0,1.0,1.0,1.5
Q001,warm cinematic landscape,semantic_text,qdrant_semantic,10,10,1.0,0.9,0.7599635902818439,0.913981382917702,1.0,1.0,1.0,1.5
Q002,dark moody forest,semantic_text,faiss_baseline,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Q002,dark moody forest,semantic_text,faiss_style_rerank,10,10,1.0,1.0,1.0,0.9856152297908297,1.0,1.0,1.0,1.7
Q002,dark moody forest,semantic_text,qdrant_filtered,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Q002,dark moody forest,semantic_text,qdrant_object_rerank,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Q002,dark moody forest,semantic_text,qdrant_semantic,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Q003,vibrant summer portrait,semantic_text,faiss_baseline,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Q003,vibrant summer portrait,semantic_text,faiss_style_rerank,10,10,1.0,0.8,0.8869465982421278,0.9609596885376617,1.0,1.0,1.0,1.4
Q003,vibrant summer portrait,semantic_text,qdrant_filtered,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Q003,vibrant summer portrait,semantic_text,qdrant_object_rerank,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Q003,vibrant summer portrait,semantic_text,qdrant_semantic,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Q004,minimal architecture,semantic_text,faiss_baseline,10,10,1.0,1.0,1.0,0.9981666155888351,1.0,1.0,1.0,1.9
Q004,minimal architecture,semantic_text,faiss_style_rerank,10,10,0.8,0.9,0.7330409974680542,0.9251351330383202,1.0,1.0,1.0,1.6
Q004,minimal architecture,semantic_text,qdrant_filtered,10,10,1.0,1.0,1.0,0.9981666155888351,1.0,1.0,1.0,1.9
Q004,minimal architecture,semantic_text,qdrant_object_rerank,10,10,1.0,1.0,1.0,0.9981666155888351,1.0,1.0,1.0,1.9
Q004,minimal architecture,semantic_text,qdrant_semantic,10,10,1.0,1.0,1.0,0.9981666155888351,1.0,1.0,1.0,1.9
